text,intent
"How to operate AC on low power","ac_tips"
"What are AC energy saving tricks","ac_tips"
"How do I reduce AC power at home","ac_tips"
"Best ways to lower AC usage","ac_tips"
"What settings reduce AC electricity","ac_tips"
"My AC is causing high electricity bills","ac_tips"
"Why is my AC so power-hungry","ac_tips"
"What modes save energy on AC","ac_tips"
"How can I run my AC efficiently","ac_tips"
"How to reduce AC bill in summer","ac_tips"
"What temperature should I keep my AC","ac_tips"
"Why does AC consume so much","ac_tips"
"Tell me AC power saving advice","ac_tips"
"How do I make AC more efficient","ac_tips"
"What are ways to reduce AC electricity cost","ac_tips"
"Tips to lower my AC consumption","ac_tips"
"How can I reduce AC compressor usage","ac_tips"
"How to cool room without high AC usage","ac_tips"
"How to save electricity using AC","ac_tips"
"How to run AC economically","ac_tips"
"What makes AC consume more power","ac_tips"
"How do I avoid high AC bills","ac_tips"
"Give me ways to optimize AC power","ac_tips"
"How to reduce electricity with AC","ac_tips"
"How do I use AC properly to lower cost","ac_tips"
"AC usage tips to cut electricity","ac_tips"
"How to reduce AC power drain","ac_tips"
"How to reduce energy costs caused by AC","ac_tips"
"What habits reduce AC electricity","ac_tips"
"My AC increases bill too much","ac_tips"
"How to manage AC usage smartly","ac_tips"
"Tips for saving electricity using AC","ac_tips"
"How do I reduce AC power consumption","ac_tips"
"What AC mode saves the most electricity","ac_tips"
"Does keeping AC at 24 degrees reduce power","ac_tips"
"How can I cut down AC electricity usage","ac_tips"
"Best ways to use AC without high bills","ac_tips"
"Does cleaning AC filters save electricity","ac_tips"
"How to prevent AC from increasing my bill","ac_tips"
"What AC temperature is most energy efficient","ac_tips"
"How can I save energy while cooling the room","ac_tips"
"What are smart AC usage habits","ac_tips"
"Does switching off AC frequently save power","ac_tips"
"How to reduce AC load during summer","ac_tips"
"What settings help reduce AC electricity","ac_tips"
"Is eco mode good for saving electricity","ac_tips"
"Does ceiling fan help reduce AC usage","ac_tips"
"How do I keep AC power usage stable","ac_tips"
"How often should I clean AC filters","ac_tips"
"What affects AC electricity consumption the most","ac_tips"
"How to avoid energy waste while using AC","ac_tips"
"Does AC on auto mode save electricity","ac_tips"
"Hello","greeting"
"Hi there","greeting"
"Hey","greeting"
"Good morning","greeting"
"Good evening","greeting"
"Hello bot","greeting"
"Hey assistant","greeting"
"Hi, how are you","greeting"
"Greetings","greeting"
"Hey there","greeting"
"Hi, nice to meet you","greeting"
"Hello assistant","greeting"
"Good afternoon","greeting"
"Hey, what's up","greeting"
"Hi friend","greeting"
"Hello, I need help","greeting"
"Hey buddy","greeting"
"Hi, can you assist me","greeting"
"Hello there, bot","greeting"
"Hi energy advisor","greeting"
"Good day","greeting"
"Hey, can I ask something","greeting"
"Hi, hope you're well","greeting"
"Hello and good evening","greeting"
"Hi, I have a question","greeting"
"Hey, are you online","greeting"
"Hello chat assistant","greeting"
"Hi there, need help","greeting"
"Greetings assistant","greeting"
"Hey, can we talk","greeting"
"Hi, I want some information","greeting"
"Hello there!","greeting"
"Hey AI bot","greeting"
"Hi, I'm here","greeting"
"Hello, please assist me","greeting"
"Hey energy bot","greeting"
"Hi, let's talk","greeting"
"Good morning assistant","greeting"
"Hello, what can you do","greeting"
"Hi again","greeting"
"Hey, good to see you","greeting"
"Hello friend, how are you","greeting"
"Hi assistant, I need guidance","greeting"
"Good day, can you help","greeting"
"Hey, energy advisor","greeting"
"Hi bot","greeting"
"Hello, checking in","greeting"
"Hi there, how’s it going","greeting"
"Hey, I'm back","greeting"
"Hello, need some support","greeting"
"Hi advisor","greeting"
"Good morning bot","greeting"
"Hey pal","greeting"
"Hi, what’s new","greeting"
"Hello energy assistant","greeting"
"Hi there, let's chat","greeting"
"Hey, I'm here","greeting"
"Hello, hope you're doing well","greeting"
"Hi, ready to talk","greeting"

"Thank you","thanks"
"Thanks a lot","thanks"
"That was helpful","thanks"
"I appreciate your help","thanks"
"Thanks for the information","thanks"
"Great, thank you","thanks"
"Thanks buddy","thanks"
"Thank you so much","thanks"
"Thanks for your assistance","thanks"
"Thanks for helping me","thanks"
"Thanks, that solved my issue","thanks"
"Thanks for your support","thanks"
"Awesome, thanks","thanks"
"Much appreciated","thanks"
"I’m grateful, thank you","thanks"
"Thank you for your advice","thanks"
"Thanks for responding","thanks"
"Thanks for the quick reply","thanks"
"Thanks for being helpful","thanks"
"Thanks a ton","thanks"
"Really appreciate it","thanks"
"Thanks for guiding me","thanks"
"Thanks bot","thanks"
"That helped, thanks","thanks"
"Thanks for the suggestion","thanks"
"You're helpful, thanks","thanks"
"Thanks for the tip","thanks"
"Thank you, assistant","thanks"
"Thanks, good to know","thanks"
"Thanks for your explanation","thanks"
"Thanks a bunch","thanks"
"Thank you, that was useful","thanks"
"Appreciate your assistance","thanks"
"Thanks for your time","thanks"
"Thanks for all the help","thanks"
"Thank you kindly","thanks"
"Thanks again","thanks"
"Thanks for helping out","thanks"
"Thanks for the information provided","thanks"
"That’s useful, thank you","thanks"
"Thanks for your kind support","thanks"
"Thank you very much","thanks"
"Thanks for the details","thanks"
"I appreciate the explanation","thanks"
"Thanks for making it clear","thanks"
"You're amazing, thanks","thanks"
"I’m thankful for your help","thanks"
"Thank you for replying","thanks"
"Your help means a lot, thanks","thanks"
"Thanks, really helpful","thanks"
"Thanks, appreciate it","thanks"
"I’m glad for your help","thanks"
"Thanks for your guidance","thanks"
"Thank you for supporting me","thanks"
"Thanks for taking the time","thanks"
"I'm grateful for the advice","thanks"
"Thanks for clarifying","thanks"
"I appreciate your quick help","thanks"

"What is a kilowatt hour","general_faq"
"How is electricity bill calculated","general_faq"
"What are peak hours","general_faq"
"What is a smart meter","general_faq"
"Which appliances consume the most power","general_faq"
"What is standby power","general_faq"
"How does electricity consumption work","general_faq"
"What uses the most electricity at home","general_faq"
"What is the meaning of unit consumption","general_faq"
"How do power tariffs work","general_faq"
"What is an energy efficient appliance","general_faq"
"What does star rating mean","general_faq"
"What is an AC compressor","general_faq"
"What is load shedding","general_faq"
"What is voltage fluctuation","general_faq"
"How does a fridge use electricity","general_faq"
"What is the difference between watt and unit","general_faq"
"What is renewable energy","general_faq"
"How do smart meters help","general_faq"
"What are off-peak hours","general_faq"
"What is surge protection","general_faq"
"What is home energy audit","general_faq"
"What is the typical household electricity usage","general_faq"
"What is a power surge","general_faq"
"What is inverter technology","general_faq"
"What type of bulb saves energy","general_faq"
"What is electricity demand charge","general_faq"
"What is a circuit breaker","general_faq"
"What is an electricity meter reading","general_faq"
"What is an energy label","general_faq"
"What is the meaning of kilowatt","general_faq"
"What is electrical load","general_faq"
"What is a distribution board","general_faq"
"What does an MCB do","general_faq"
"What is a neutral wire","general_faq"
"What causes high voltage","general_faq"
"What is a fuse","general_faq"
"What is a power factor","general_faq"
"What is a transformer","general_faq"
"What is a capacitor","general_faq"
"What is a household MCB","general_faq"
"What is a smart electrical system","general_faq"
"What is a kilowatt rating","general_faq"
"What are high consumption appliances","general_faq"
"What is the purpose of stabilizers","general_faq"
"What does energy-efficient mean","general_faq"
"What is power demand","general_faq"
"What is peak demand charge","general_faq"
"Why do power bills vary seasonally","general_faq"
"Why do heavy appliances consume more electricity","general_faq"
"What is the role of transformers","general_faq"
"What is household voltage","general_faq"
"What is a smart plug","general_faq"
"What is standby electricity usage","general_faq"
"What is meant by peak load","general_faq"
"Why do bills increase in summer","general_faq"
"What is power distribution","general_faq"
"What causes voltage drops at home","general_faq"
"What does star efficiency mean","general_faq"
"What is a domestic power circuit","general_faq"

"I like pizza","unknown"
"What is your favorite color","unknown"
"Tell me a joke","unknown"
"I am hungry","unknown"
"I love movies","unknown"
"What is your name","unknown"
"I want to sleep","unknown"
"I feel bored","unknown"
"Tell me something funny","unknown"
"I'm thinking about lunch","unknown"
"I want a new phone","unknown"
"I enjoy reading books","unknown"
"I like cats","unknown"
"I'm feeling lazy","unknown"
